Date,tendencia_1,tendencia_2,tendencia_3,Dia,DiaSemana,Mes,Media5PrimeirosDias_Smap_111,Media5PrimeirosDias_Smap_112,Media5PrimeirosDias_Smap_113,Media5PrimeirosDias_Smap_114,Media5PrimeirosDias_Smap_121,Media5PrimeirosDias_Smap_122,Media5PrimeirosDias_Smap_130,Media5PrimeirosDias_Smap_141,Media5PrimeirosDias_Smap_144,Media5PrimeirosDias_Smap_145,Media5PrimeirosDias_Smap_148,Media5PrimeirosDias_Smap_149,Media5PrimeirosDias_Smap_188,Media5PrimeirosDias_Smap_190,Media5PrimeirosDias_Smap_197,Media5PrimeirosDias_Smap_198,Media5PrimeirosDias_Smap_204,Media5PrimeirosDias_Smap_220,Media5PrimeirosDias_Smap_230,Media5PrimeirosDias_Smap_254,Media5PrimeirosDias_Smap_255,Media5PrimeirosDias_Smap_259,Media5PrimeirosDias_Smap_263,Media5PrimeirosDias_Smap_269,Media5PrimeirosDias_Smap_277,Media5PrimeirosDias_Smap_278,Media5PrimeirosDias_Smap_279,Media5PrimeirosDias_Smap_280,Media5PrimeirosDias_Smap_281,Media5PrimeirosDias_Smap_284,Media5PrimeirosDias_Smap_286,Media5PrimeirosDias_Smap_290,Media5PrimeirosDias_Smap_291,Media5PrimeirosDias_Smap_295,Media5PrimeirosDias_Smap_297,Media5PrimeirosDias_Smap_71,Media5PrimeirosDias_Smap_72,Media5PrimeirosDias_Smap_78,Media5PrimeirosDias_Smap_81,Media5PrimeirosDias_Smap_92,Media5PrimeirosDias_Smap_93,Media5PrimeirosDias_Smap_94,Media5PrimeirosDias_Smap_97,Media5PrimeirosDias_Smap_98,Media5SegundosDias_Smap_111,Media5SegundosDias_Smap_112,Media5SegundosDias_Smap_113,Media5SegundosDias_Smap_114,Media5SegundosDias_Smap_121,Media5SegundosDias_Smap_122,Media5SegundosDias_Smap_130,Media5SegundosDias_Smap_141,Media5SegundosDias_Smap_144,Media5SegundosDias_Smap_145,Media5SegundosDias_Smap_148,Media5SegundosDias_Smap_149,Media5SegundosDias_Smap_188,Media5SegundosDias_Smap_190,Media5SegundosDias_Smap_197,Media5SegundosDias_Smap_198,Media5SegundosDias_Smap_204,Media5SegundosDias_Smap_220,Media5SegundosDias_Smap_230,Media5SegundosDias_Smap_254,Media5SegundosDias_Smap_255,Media5SegundosDias_Smap_259,Media5SegundosDias_Smap_263,Media5SegundosDias_Smap_269,Media5SegundosDias_Smap_277,Media5SegundosDias_Smap_278,Media5SegundosDias_Smap_279,Media5SegundosDias_Smap_280,Media5SegundosDias_Smap_281,Media5SegundosDias_Smap_284,Media5SegundosDias_Smap_286,Media5SegundosDias_Smap_290,Media5SegundosDias_Smap_291,Media5SegundosDias_Smap_295,Media5SegundosDias_Smap_297,Media5SegundosDias_Smap_71,Media5SegundosDias_Smap_72,Media5SegundosDias_Smap_78,Media5SegundosDias_Smap_81,Media5SegundosDias_Smap_92,Media5SegundosDias_Smap_93,Media5SegundosDias_Smap_94,Media5SegundosDias_Smap_97,Media5SegundosDias_Smap_98,MediaRestante_Smap_111,MediaRestante_Smap_112,MediaRestante_Smap_113,MediaRestante_Smap_114,MediaRestante_Smap_121,MediaRestante_Smap_122,MediaRestante_Smap_130,MediaRestante_Smap_141,MediaRestante_Smap_144,MediaRestante_Smap_145,MediaRestante_Smap_148,MediaRestante_Smap_149,MediaRestante_Smap_188,MediaRestante_Smap_190,MediaRestante_Smap_197,MediaRestante_Smap_198,MediaRestante_Smap_204,MediaRestante_Smap_220,MediaRestante_Smap_230,MediaRestante_Smap_254,MediaRestante_Smap_255,MediaRestante_Smap_259,MediaRestante_Smap_263,MediaRestante_Smap_269,MediaRestante_Smap_277,MediaRestante_Smap_278,MediaRestante_Smap_279,MediaRestante_Smap_280,MediaRestante_Smap_281,MediaRestante_Smap_284,MediaRestante_Smap_286,MediaRestante_Smap_290,MediaRestante_Smap_291,MediaRestante_Smap_295,MediaRestante_Smap_297,MediaRestante_Smap_71,MediaRestante_Smap_72,MediaRestante_Smap_78,MediaRestante_Smap_81,MediaRestante_Smap_92,MediaRestante_Smap_93,MediaRestante_Smap_94,MediaRestante_Smap_97,MediaRestante_Smap_98,VazaoNatural_Posto_111,VazaoNatural_Posto_112,VazaoNatural_Posto_113,VazaoNatural_Posto_114,VazaoNatural_Posto_121,VazaoNatural_Posto_122,VazaoNatural_Posto_130,VazaoNatural_Posto_141,VazaoNatural_Posto_144,VazaoNatural_Posto_145,VazaoNatural_Posto_148,VazaoNatural_Posto_149,VazaoNatural_Posto_183,VazaoNatural_Posto_188,VazaoNatural_Posto_190,VazaoNatural_Posto_197,VazaoNatural_Posto_198,VazaoNatural_Posto_204,VazaoNatural_Posto_220,VazaoNatural_Posto_230,VazaoNatural_Posto_254,VazaoNatural_Posto_255,VazaoNatural_Posto_259,VazaoNatural_Posto_263,VazaoNatural_Posto_269,VazaoNatural_Posto_277,VazaoNatural_Posto_278,VazaoNatural_Posto_279,VazaoNatural_Posto_280,VazaoNatural_Posto_281,VazaoNatural_Posto_284,VazaoNatural_Posto_286,VazaoNatural_Posto_290,VazaoNatural_Posto_291,VazaoNatural_Posto_295,VazaoNatural_Posto_297,VazaoNatural_Posto_71,VazaoNatural_Posto_72,VazaoNatural_Posto_78,VazaoNatural_Posto_81,VazaoNatural_Posto_92,VazaoNatural_Posto_93,VazaoNatural_Posto_94,VazaoNatural_Posto_97,VazaoNatural_Posto_98,MediaDia_BELO MONTE_arm,MediaDia_IGUAÇU_arm,MediaDia_ITAIPU_arm,MediaDia_MADEIRA_arm,MediaDia_MANAUS-AMAPÁ_arm,MediaDia_NORDESTE_arm,MediaDia_NORTE_arm,MediaDia_PARANAPANEMA_arm,MediaDia_PARANÁ_arm,MediaDia_SUDESTE_arm,MediaDia_SUL_arm,MediaDia_TELES PIRES_arm,VNA_Posto_154,VNA_Posto_255,Media5PrimeirosDias_CRH,Media5PrimeirosDias_MPR,Media5PrimeirosDias_MPR+BQOemUSB,Media5PrimeirosDias_SFR,Media5PrimeirosDias_SRM,Media5PrimeirosDias_UQMD,Media5PrimeirosDias_USBA,Media5PrimeirosDias_UTMD,Media5SegundosDias_CRH,Media5SegundosDias_MPR,Media5SegundosDias_MPR+BQOemUSB,Media5SegundosDias_SFR,Media5SegundosDias_SRM,Media5SegundosDias_UQMD,Media5SegundosDias_USBA,Media5SegundosDias_UTMD,MediaRestante_CRH,MediaRestante_MPR,MediaRestante_MPR+BQOemUSB,MediaRestante_SFR,MediaRestante_SRM,MediaRestante_UQMD,MediaRestante_USBA,MediaRestante_UTMD,Open,High,Low,Close,Return,Output,alta,baixa
2020-01-02,baixa,baixa,baixa,2,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.704,0.0,0.0,0.0,0.0,38.394,2.148,7.68,0.0,58.404,10.454,59.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.186,0.0,0.0,0.0,0.0,33.142,2.128,8.45,0.0,49.484,8.538,56.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.885,0.0,0.0,0.0,0.0,31.265,1.92,7.9,0.0,44.03,7.81,55.145,0.0,0.0,74.99871,75.330901,79.176157,82.43865,45.384677,51.092056,377.68573,210.719411,395.288045,212.055639,333.076305,53.910321,37.027729,49.551795,261.3176,21.279481,49.54179,731.643998,19.244302,2818.96784,1.16464,32.7562,59.799704,45.950388,892.387741,137.22054,91.408781,571.824441,728.703372,82.337619,36.64465,31.385117,489.01988,350.174,87.551407,729.510209,41.97358,44.303749,351.297823,458.094072,221.780146,11.381246,301.974515,35.36361,14.764889,14.7,21.7,0.0,21.9,26.5,37.9,14.5,28.7,19.4,19.2,39.0,0.0,110.68,32.76,846.0,1031.4,1073.0,942.8,776.4,14.6,675.0,402.8,906.4,1089.0,1319.0,1457.6,1366.0,14.4,939.0,297.4,1208.48,1394.36,1580.94,1327.98,1101.76,15.26,1135.72,298.32,335.0,355.0,333.0,340.0,143.0,1.0,0,1
2020-01-07,alta,baixa,baixa,7,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.048,0.0,0.0,0.0,0.0,37.596,2.536,10.858,0.0,48.614,9.682,48.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.112,0.0,0.0,0.0,0.0,36.806,2.21,11.15,0.0,43.506,8.67,47.706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.585,0.0,0.0,0.0,0.0,34.41,2.045,9.525,0.0,39.885,7.825,46.085,0.0,0.0,80.410416,80.176738,80.354856,81.882742,59.236539,80.438469,830.457761,438.773154,663.363199,142.995361,574.469717,240.633342,104.310457,50.077641,436.542374,66.121074,207.028694,554.667006,17.242462,2712.055777,11.2846,409.509,54.335741,80.828655,800.013944,225.927107,84.002253,790.946045,557.814087,73.132435,81.961713,25.992124,435.22135,680.211249,77.447222,564.108936,40.005315,42.301413,389.222288,442.937808,256.370832,10.228346,313.344853,83.438235,68.718178,16.8,21.8,0.0,31.2,26.5,38.4,14.6,28.9,19.8,19.4,37.8,0.0,108.78,409.51,906.4,1089.0,1319.0,1457.6,1366.0,14.4,939.0,297.4,1750.8,1201.2,1316.8,2588.2,2314.6,14.0,910.0,292.6,1058.44,1337.66,1536.94,1104.54,889.52,14.18,1145.16,298.96,221.0,221.0,197.0,197.0,5.0,1.0,1,0
2020-01-08,alta,alta,alta,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.06,0.0,0.0,0.0,0.0,44.09,2.446,12.0,0.0,45.898,9.024,45.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.892,0.0,0.0,0.0,0.0,53.916,2.27,12.72,0.0,41.52,8.052,43.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.265,0.0,0.0,0.0,0.0,57.985,3.095,14.005,0.0,38.08,9.07,42.9,0.0,0.0,68.843688,68.635899,68.690115,69.91779,88.607037,104.887068,1194.939032,518.00245,654.444235,117.471948,591.246274,189.669434,94.067504,54.00723,454.770135,59.931259,162.488871,572.568737,15.117013,2639.929228,12.77976,316.502,51.178333,83.908099,611.406339,241.890536,152.162589,731.571518,574.783674,72.361547,77.029576,23.568686,426.770722,727.183312,75.421864,580.119761,46.287679,48.36754,415.381162,483.852462,238.756109,8.569057,308.188779,72.714197,51.164156,18.0,21.6,0.0,31.4,26.3,38.5,14.7,29.2,19.8,19.5,37.3,0.0,111.27,316.5,906.4,1089.0,1319.0,1457.6,1366.0,14.4,939.0,297.4,1750.8,1201.2,1316.8,2588.2,2314.6,14.0,910.0,292.6,1013.86,1305.32,1535.58,1062.94,796.56,14.18,1151.24,298.44,190.0,194.0,181.5,192.0,-8.0,0.0,1,0
2020-01-09,alta,alta,alta,9,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.008,0.0,0.0,0.0,0.0,40.204,2.28,8.686,0.0,43.312,8.576,48.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.016,0.0,0.0,0.0,0.0,48.818,2.266,13.306,0.0,38.896,8.276,45.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.67,0.0,0.0,0.0,0.0,39.01,1.765,8.84,0.0,33.44,7.99,43.32,0.0,0.0,78.976425,78.449791,76.430102,76.680948,94.554324,110.626893,1144.254414,429.252994,657.084852,111.68084,595.606791,137.520267,82.246789,74.119544,461.809584,53.352556,154.084078,581.658905,15.715303,2636.157702,11.05816,240.498,53.914444,76.157253,584.530725,247.713119,158.380926,697.354875,582.665776,72.066827,58.745099,23.094711,404.583961,742.200937,74.674284,586.713961,46.027877,48.046358,424.397804,494.277787,230.873337,9.298452,301.096009,53.191877,34.040758,18.7,21.4,0.0,30.9,26.0,38.6,14.7,29.4,19.9,19.8,36.9,0.0,119.6,240.5,1128.8,1074.8,1320.8,1895.8,1740.0,14.4,951.8,295.2,2193.8,1441.6,1393.2,2803.8,2375.0,14.4,896.0,292.0,1034.28,1349.5,1579.24,1120.96,895.08,14.14,1207.84,299.22,195.0,205.0,195.0,200.0,-21.0,0.0,1,0
2020-01-10,alta,alta,alta,10,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.32,0.0,0.0,0.0,0.0,39.392,2.754,9.766,0.0,44.808,8.974,51.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.526,0.0,0.0,0.0,0.0,41.216,2.526,11.848,0.0,39.504,7.72,48.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.76,0.0,0.0,0.0,0.0,38.985,2.815,9.545,0.0,35.835,9.46,47.05,0.0,0.0,95.417806,94.622329,92.650681,94.428334,100.539594,116.576505,1081.542753,358.622484,580.344881,110.168667,515.539651,126.590512,71.072062,111.132183,465.658675,58.047,120.629424,584.112269,22.932337,2624.967387,7.997333,156.496,53.798704,72.540512,572.801645,251.134163,159.655744,661.913312,585.679649,72.02798,53.414498,23.600341,378.342936,759.173,74.519296,590.153364,45.187827,47.693636,423.786012,496.440551,216.438622,14.306238,294.981715,50.929966,34.976664,20.1,20.9,0.0,30.3,25.5,38.4,14.7,29.8,19.9,19.9,36.4,0.0,126.85,156.5,1324.4,1091.8,1312.2,2138.0,1991.0,14.0,940.2,294.4,2351.6,1601.8,1468.4,2767.0,2227.8,14.4,918.0,293.0,970.32,1322.86,1562.6,1039.06,830.56,14.12,1196.06,299.26,204.0,223.0,203.0,221.0,-59.0,0.0,1,0
2020-01-13,baixa,alta,baixa,13,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.11,0.0,0.0,0.0,0.0,48.674,3.37,30.056,0.0,95.742,22.696,56.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.758,0.0,0.0,0.0,0.0,44.068,3.53,18.502,0.0,76.428,16.38,55.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.83,0.0,0.0,0.0,0.0,39.685,2.82,12.415,0.0,60.03,9.81,50.075,0.0,0.0,153.58839,156.249684,191.250182,224.008334,118.614222,137.890435,871.392592,273.694507,463.86008,114.279877,404.039962,76.034117,55.167459,364.702456,443.807327,52.42563,110.708221,476.23659,63.382587,2610.157325,109.4358,70.505,62.104259,62.341446,575.642217,240.029244,135.2215,647.991668,480.49821,75.137925,227.189253,32.4473,321.1894,800.182312,76.54816,487.22716,56.908543,59.828726,510.597097,692.74018,412.662494,36.786522,401.617935,245.369366,232.539847,24.4,20.4,0.0,32.2,24.6,38.7,15.0,30.7,20.4,20.1,36.8,0.0,125.52,70.5,1986.2,1306.0,1343.6,2720.2,2395.0,14.4,895.2,292.2,2417.4,2129.6,1826.6,1987.6,1407.6,14.4,1186.0,296.4,856.6,1205.16,1501.5,947.6,756.68,13.52,1146.1,299.4,274.5,286.0,273.0,280.0,9.0,1.0,0,1
2020-01-14,alta,baixa,baixa,14,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.578,0.0,0.0,0.0,0.0,48.296,2.49,20.656,0.0,86.06,19.772,52.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.772,0.0,0.0,0.0,0.0,36.292,1.946,10.44,0.0,60.708,11.418,48.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.45,0.0,0.0,0.0,0.0,32.155,1.755,7.52,0.0,48.785,7.85,44.605,0.0,0.0,142.157678,143.028505,152.282559,160.399116,118.812681,141.45043,869.921563,266.209216,449.132059,114.567877,388.540393,93.96047,56.69118,280.058094,426.50257,42.037741,92.60309,466.163393,52.76632,2647.169855,92.7528,57.311,61.104259,56.50665,587.942127,224.337592,122.468837,665.153556,468.416871,75.689427,217.256278,28.917769,326.371894,795.200937,78.172494,473.194435,61.348148,63.705579,540.341936,747.855325,599.812716,29.376809,548.552333,203.850241,135.404697,25.5,20.0,0.0,31.5,24.3,38.7,15.2,31.0,20.5,20.2,36.8,0.0,129.44,57.31,2193.8,1441.6,1393.2,2803.8,2375.0,14.4,896.0,292.0,2258.4,2268.8,1973.8,1676.8,1194.0,14.6,1334.0,297.2,916.32,1240.26,1541.72,1015.74,815.52,13.48,1195.74,299.46,295.0,300.0,269.0,271.0,11.100000000000025,1.0,1,0
2020-01-15,alta,baixa,baixa,15,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.13,0.0,0.0,0.0,0.0,51.294,2.384,18.692,0.0,81.734,18.144,50.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.972,0.0,0.0,0.0,0.0,38.65,1.876,9.918,0.0,55.876,10.726,45.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.305,0.0,0.0,0.0,0.0,33.76,1.72,7.245,0.0,45.73,7.425,42.75,0.0,0.0,140.38381,140.861047,150.263719,160.181579,133.797383,162.509269,907.044594,279.85224,439.596009,114.726037,383.530319,133.443077,60.804354,185.888954,405.674822,36.278481,79.268756,459.270326,45.915824,2693.58231,68.8704,47.11944,60.988519,49.701411,603.093127,210.703516,109.842196,698.741467,461.237883,75.78072,150.975981,27.492843,350.090058,776.126439,79.622444,465.55116,62.670136,65.020032,539.466568,755.5174,663.52684,26.1689,710.601026,134.05595,93.449217,25.7,19.7,0.0,31.6,23.9,38.7,15.7,31.1,20.4,20.3,36.8,0.0,131.34,47.12,2351.6,1601.8,1468.4,2767.0,2227.8,14.4,918.0,293.0,2012.2,2368.8,2123.2,1425.2,1024.6,14.8,1494.0,296.8,992.04,1276.66,1575.12,1114.54,908.04,14.48,1250.18,299.36,250.0,270.0,244.0,259.9,13.799999999999985,1.0,1,0
2020-01-16,baixa,alta,alta,16,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.228,0.0,0.0,0.0,0.0,52.346,2.716,18.368,0.0,80.454,20.388,48.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.738,0.0,0.0,0.0,0.0,39.65,1.946,9.718,0.0,57.082,11.092,43.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.81,0.0,0.0,0.0,0.0,34.295,1.775,7.11,0.0,45.575,7.5,40.62,0.0,0.0,142.241369,142.683178,154.79676,168.602491,134.05758,161.33564,869.741337,313.521277,443.147092,113.683704,394.267804,152.919451,66.767568,132.568295,371.946733,31.699778,70.674241,467.882427,43.738918,2735.937953,58.623133,40.33032,55.451481,44.454066,614.107587,199.032764,100.627952,730.558622,468.584011,76.332856,119.073484,27.284,384.205257,744.163688,80.123321,471.756525,61.061568,63.709021,519.143203,725.583531,575.957957,25.345839,748.088176,111.25251,80.049458,25.6,19.1,0.0,31.8,23.8,38.7,15.9,31.5,20.4,20.4,36.7,0.0,131.25,40.33,2460.0,1775.4,1568.4,2590.6,1997.6,14.4,970.0,294.4,1740.0,2415.4,2265.4,1236.2,883.8,14.8,1656.0,296.6,1115.1,1367.08,1637.38,1247.66,1026.78,14.56,1312.32,299.44,245.0,259.0,245.0,246.1,-8.900000000000006,0.0,0,1
2020-01-17,baixa,baixa,baixa,17,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.27,0.0,0.0,0.0,0.0,49.384,2.792,18.72,0.0,75.418,36.076,51.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.08,0.0,0.0,0.0,0.0,37.622,1.91,9.74,0.0,51.41,12.668,44.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,0.0,0.0,0.0,33.145,1.765,6.9,0.0,41.665,7.375,41.07,0.0,0.0,144.177261,145.34932,174.28509,206.417589,134.317778,154.001645,838.256883,323.729875,444.414273,114.643037,402.403828,146.084515,74.8911,105.429426,349.132785,31.087667,72.805301,497.780037,52.150849,2763.666337,49.33148,36.34324,53.682963,44.546268,616.73755,192.281062,95.963878,753.474689,496.798519,76.912526,101.865142,28.189354,416.023222,758.191625,80.093333,498.473842,56.800222,59.754398,500.522069,691.159769,494.717635,31.567722,661.930885,94.627044,56.320419,26.0,18.6,0.0,33.5,23.9,38.9,16.0,31.6,20.4,20.4,36.9,0.0,128.91,36.34,2417.4,2129.6,1826.6,1987.6,1407.6,14.4,1186.0,296.4,1237.8,2337.6,2490.8,958.2,682.6,14.4,1926.0,296.2,1270.5,1481.92,1720.6,1397.08,1144.0,15.08,1390.58,299.6,264.0,272.5,253.1,255.0,23.099999999999994,1.0,0,1
